HUD PROJECT NUMBER,PREMISE ID,PROPERTY NAME,PROPERTY STREET,PROPERTY CITY,PROPERTY STATE,PROPERTY ZIP,UNITS,INITIAL ENDORSEMENT DATE,FINAL ENDORSEMENT DATE,ORIGINAL MORTGAGE AMOUNT,FIRST PAYMENT DATE,MATURITY DATE,TERM IN MONTHS,INTEREST RATE,CURRENT PRINCIPAL AND INTEREST,AMORTIZED PRINCIPAL BALANCE,HOLDER NAME,HOLDER CITY,HOLDER STATE,SERVICER NAME,SERVICER CITY,SERVICER STATE,SECTION OF ACT CODE,SOA CATEGORY/SUB CATEGORY,TE,TC
01211320,0000023306,QUEENS B'NAI B'RITH HOUSE,138-49 ELDER AVENUE,FLUSING,NY,11355,191,3/23/2012,3/23/2012,"10,490,800 ",5/1/2012,4/1/2032,240,3.7,"61,926.09 ","9,659,304.35 ",RED MORTGAGE CAPITAL LLC,COLUMBUS,OH,RED MORTGAGE CAPITAL LLC,COLUMBUS,OH,HRI,207/ 223(f) Pur/ Refin Hsg.,,
01211321,0000011941,JAIME'S PLACE II,101 E 119TH ST,NEW YORK,NY,10035,127,3/23/2012,3/23/2012,"20,185,400 ",5/1/2012,4/1/2047,420,3.43,"82,607.77 ","19,487,200.04 ",PRUDENTIAL HUNTOON PAIGE ASSOC,DALLAS,TX,PRUDENTIAL HUNTOON PAIGE ASSOC,DALLAS,TX,HRI,207/ 223(f) Pur/ Refin Hsg.,,
01211322,0000023420,ROSLYN PLAZA GARDENS,100 LAUREL STREET,ROSLYN HEIGHTS,NY,11577,104,5/4/2012,5/4/2012,"3,200,000 ",7/1/2012,6/1/2022,120,3.5,"31,643.48 ","2,622,281.33 ",GREYSTONE SERVICING CORP INC,WARRENTON,VA,GREYSTONE SERVICING CORP INC,WARRENTON,VA,HRI,207/ 223(f) Pur/ Refin Hsg.,,
01211323,0000023950,LOWER EAST SIDE I APARTMENTS I,384 EAST 10TH STREET,NEW YORK,NY,10009,152,7/31/2012,7/31/2012,"32,737,500 ",9/1/2012,8/1/2047,420,3.14,"128,562.07 ","31,721,897.39 ",GREYSTONE FUNDING CORPORATION,ATLANTA,GA,GREYSTONE FUNDING CORPORATION,ATLANTA,GA,HRI,207/ 223(f) Pur/ Refin Hsg.,,
01211324,0000023949,RENWICK GARDENS APARTMENTS,332 EAST 29TH STREET,NEW YORK,NY,10016,224,7/31/2012,7/31/2012,"40,000,000 ",9/1/2012,8/1/2047,420,2.97,"153,271.16 ","38,717,183.98 ",GREYSTONE FUNDING CORPORATION,ATLANTA,GA,GREYSTONE FUNDING CORPORATION,ATLANTA,GA,HRI,207/ 223(f) Pur/ Refin Hsg.,,
01211326,0000024516,ISRAEL SENIOR CITIZEN HOUSING,19-25 SEAGIRT BLVD,FAR ROCKAWAY,NY,11691,512,1/31/2013,1/31/2013,"11,795,300 ",3/1/2013,2/1/2048,420,2.72,"43,571.27 ","11,503,851.57 ",GREYSTONE FUNDING CORPORATION,ATLANTA,GA,GREYSTONE SERVICING CORP INC,WARRENTON,VA,HRI,207/ 223(f) Pur/ Refin Hsg.,,
01211329,0000024473,CHINATOWN PRESERVATION,30 HENRY STREET,NEW YORK,NY,10002,132,1/25/2013,1/25/2013,"14,900,000 ",3/1/2013,2/1/2048,420,2.97,"57,093.51 ","14,549,438.18 ",BELLWETHER ENTERPRISE REAL EST,CLEVELAND,OH,BELLWETHER ENTERPRISE REAL EST,CLEVELAND,OH,HRI,207/ 223(f) Pur/ Refin Hsg.,,
01211330,0000024281,CO-OP CITY,2049 BARTOW AVENUE,BRONX,NY,10475,9999,11/28/2012,11/28/2012,"621,500,000 ",1/1/2013,12/1/2047,420,2.4,"2,342,547.68 ","600,228,252.60 ",WELLS FARGO BANK NA,MC LEAN,VA,WELLS FARGO BANK NA,MC LEAN,VA,HRI,207/ 223(f) Pur/ Refin Hsg.,,TC
01211331,0000024573,AHI EZER PLAZA,1879 EAST 3RD STREET,BROOKLYN,NY,11223,50,2/21/2013,2/21/2013,"6,679,100 ",4/1/2013,3/1/2048,420,2.98,"25,630.03 ","6,531,675.94 ",HEARTLAND BANK,CHESTERFIELD,MO,HEARTLAND BANK,CHESTERFIELD,MO,HRI,207/ 223(f) Pur/ Refin Hsg.,,
01211332,0000025418,ST.BARNABAS HOUSING FOR THE EL,535 EAST 182ND STREET,BRONX,NY,10457,91,8/20/2013,8/20/2013,"10,129,100 ",10/1/2013,9/1/2048,420,3.45,"41,569.72 ","10,002,991.48 ",OPPENHEIMER MULTIFAMILY HSG &,NORTH WALES,PA,OPPENHEIMER MULTIFAMILY HSG &,NORTH WALES,PA,HRI,207/ 223(f) Pur/ Refin Hsg.,,
01211333,0000004839,TWO THIRTY ONE  S FULTON AVE,231 S FULTON AVE,MOUNT VERNON,NY,10550,70,8/21/2013,8/21/2013,"4,640,000 ",10/1/2013,9/1/2048,420,3.84,"20,101.83 ","4,586,698.67 ",GREYSTONE FUNDING CORPORATION,ATLANTA,GA,GREYSTONE SERVICING CORP INC,WARRENTON,VA,HRI,207/ 223(f) Pur/ Refin Hsg.,,
01211337,0000025160,PINECREST MANOR,1100 AMUSO DRIVE,MOUNT KISCO,NY,10549,131,6/18/2013,6/18/2013,"8,235,000 ",8/1/2013,7/1/2048,420,2.97,"31,554.70 ","8,099,082.84 ",RED MORTGAGE CAPITAL LLC,COLUMBUS,OH,RED MORTGAGE CAPITAL LLC,COLUMBUS,OH,HRI,207/ 223(f) Pur/ Refin Hsg.,,
01211339,0000025052,STONEGATE APARTMENTS,100 STONEGATE WAY,MIDDLE ISLAND,NY,11953,165,5/30/2013,5/30/2013,"26,320,000 ",7/1/2013,6/1/2048,420,2.64,"96,079.31 ","25,817,116.96 ",WELLS FARGO BANK NA,MC LEAN,VA,WELLS FARGO BANK NA,MC LEAN,VA,HRI,207/ 223(f) Pur/ Refin Hsg.,,
01211340,0000025761,ALBERTA ALSTON HOUSE,52-09 99TH STREET,CORONA,NY,11368,151,12/4/2013,12/4/2013,"10,218,000 ",2/1/2014,1/1/2049,420,4.8,"50,273.04 ","10,161,026.69 ",RED MORTGAGE CAPITAL LLC,COLUMBUS,OH,RED MORTGAGE CAPITAL LLC,COLUMBUS,OH,HRI,207/ 223(f) Pur/ Refin Hsg.,,
01211341,0000007825,MNOTEBELLO COMMONS,DASHEW DR,MONTEBELLO,NY,10901,178,6/26/2013,6/26/2013,"24,275,000 ",8/1/2013,1/1/2046,390,3.13,"99,253.85 ","23,837,520.71 ",BERKADIA COMMERCIAL MORTGAGE L,HORSHAM,PA,BERKADIA COMMERCIAL MORTGAGE L,HORSHAM,PA,REK,223(a)(7)/207/223(f) Refinanced Insurance,,
01211342,0000025342,RICHMOND HILL APARTMENTS,120-08 97TH AVENUE,RICHMOND HILL,NY,11419,46,7/30/2013,7/30/2013,"4,500,000 ",9/1/2013,8/1/2048,420,4.1,"20,195.68 ","4,446,057.29 ",GREYSTONE SERVICING CORP INC,WARRENTON,VA,GREYSTONE SERVICING CORP INC,WARRENTON,VA,HRI,207/ 223(f) Pur/ Refin Hsg.,,
01211343,0000025370,206-212 EAST 67TH STREET,206-212 EAST 67TH STREET,NEW YORK,NY,10065,70,7/31/2013,7/31/2013,"7,378,200 ",9/1/2013,8/1/2048,420,3.45,"30,280.05 ","7,277,008.77 ",TAVERNIER CAPITAL FUNDING LLC,WESLEY CHAPEL,FL,"PNC BANK, NATIONAL ASSOCIATION",MIAMISBURG,OH,HRI,207/ 223(f) Pur/ Refin Hsg.,,
01211344,0000025963,ST. SIMEON II,9 HILLTOP COURT  SUITE I,POUGHKEEPSIE,NY,12601,60,12/18/2013,12/18/2013,"3,005,300 ",2/1/2014,1/1/2049,420,4.2,"13,669.62 ","2,986,227.37 ",ROCKHALL FUNDING CORP,RESTON,VA,ROCKHALL FUNDING CORP,RESTON,VA,HRI,207/ 223(f) Pur/ Refin Hsg.,,
01211348,0000026023,BAYSIDE GARDENS,208-02/28-20 39TH AVENUE,BAYSIDE,NY,11361,26,2/11/2014,2/11/2014,"4,815,400 ",4/1/2014,3/1/2049,420,4.19,"26,665.82 ","4,775,784.92 ",CAPITAL ONE MULTIFAMILY FINANC,BETHESDA,MD,CAPITAL ONE MULTIFAMILY FINANC,BETHESDA,MD,HRI,207/ 223(f) Pur/ Refin Hsg.,,
01211350,0000026021,104-35 102ND STREET,104-35 102ND STREET,QUEENS,NY,11417,33,1/30/2014,1/30/2014,"2,677,300 ",3/1/2014,2/1/2049,420,4.19,"12,161.45 ","2,663,135.38 ",CAPITAL ONE MULTIFAMILY FINANC,BETHESDA,MD,CAPITAL ONE MULTIFAMILY FINANC,BETHESDA,MD,HRI,207/ 223(f) Pur/ Refin Hsg.,,
01211355,0000025949,ESTHER DASHEW APARTMENTS,20 SECORA ROAD,MONSEY,NY,10952,107,1/23/2014,1/23/2014,"9,525,600 ",3/1/2014,2/1/2049,420,4.25,"43,617.15 ","9,475,845.58 ",BERKADIA COMMERCIAL MORTGAGE L,HORSHAM,PA,BERKADIA COMMERCIAL MORTGAGE L,HORSHAM,PA,HRI,207/ 223(f) Pur/ Refin Hsg.,,
01211356,0000008819,TOWER WEST SPTS,65 W 96TH ST,NEW YORK,NY,10022,217,3/31/2014,3/31/2014,"20,631,700 ",5/1/2014,4/1/2049,420,3.9,"90,118.56 ","20,562,278.27 ",WELLS FARGO BANK NA,MC LEAN,VA,WELLS FARGO BANK NA,MC LEAN,VA,HRI,207/ 223(f) Pur/ Refin Hsg.,,
01213040,0000009238,PRESBYTERIAN HOSPITAL,622 W 168 ST,NEW YORK-MANHATTAN,NY,10032,1185,7/23/1985,12/8/1992,"361,468,348 ",5/1/1990,4/1/2015,300,7.49,"3,016,451.12 ","26,319,848.25 ",DORMITORY AUTHORITY STATE OF N,ALBANY,NY,PRUDENTIAL HUNTOON PAIGE ASSOC,DALLAS,TX,ZHL,242 Hospitals,,
01213042,0000009226,PRESBYTERIAN HOSPITAL,622 WEST 218 STREET,NEW YORK-MANHATTAN,NY,10467,300,11/20/1985,12/9/1992,"89,468,805 ",5/1/1990,4/1/2015,300,7.49,"726,914.56 ","6,342,644.63 ",DORMITORY AUTHORITY STATE OF N,ALBANY,NY,PRUDENTIAL HUNTOON PAIGE ASSOC,DALLAS,TX,ZHL,242 Hospitals,,
01213047,0000009023,KINGSBROOK JEWISH MEDICA,585 SCHENECTADY AVE.,NEW YORK-BROOKLYN,NY,11203,343,10/12/1989,12/15/1998,"24,250,000 ",3/1/1992,2/1/2017,300,4.96,"150,289.50 ","4,364,392.62 ",DORMITORY AUTHORITY STATE OF N,ALBANY,NY,PRUDENTIAL HUNTOON PAIGE ASSOC,DALLAS,TX,ZHL,242 Hospitals,,
01213050,0000008820,HOSP SPECIAL SURGERY,535 EAST 70TH ST,NEW YORK,NY,10021,162,12/1/1994,8/20/1998,"102,363,821 ",2/1/1998,1/1/2023,300,3.835,"593,645.55 ","51,603,249.08 ",NEW YORK MED CARE FACILI F A,ALBANY,NY,PRUDENTIAL HUNTOON PAIGE ASSOC,DALLAS,TX,ZHL,242 Hospitals,,
01213052,0000009016,HUDSON VALLEY HOSPITAL CENTER,1980 COMPOUND ROAD,PEEKSKILL,NY,10566,114,11/16/1993,8/22/2007,"22,676,700 ",12/1/1995,10/1/2019,287,2.6,"129,182.58 ","7,599,801.86 ",PRUDENTIAL HUNTOON PAIGE ASSOC,DALLAS,TX,PRUDENTIAL HUNTOON PAIGE ASSOC,DALLAS,TX,ZHL,242 Hospitals,,
01213053,0000008862,WHITE PLAINS HOSP,DAVIS AVE AT EAST POST RD,WHITE PLAINS,NY,10601,307,12/30/1994,6/23/2004,"35,992,938 ",10/1/1997,9/1/2022,300,5.05,"221,315.04 ","17,742,637.53 ",DORMITORY AUTHORITY STATE OF N,ALBANY,NY,PRUDENTIAL HUNTOON PAIGE ASSOC,DALLAS,TX,ZHL,242 Hospitals,,
01213054,0000008825,NEW YORK HOSPITAL,525 EAST 68TH ST,NY,NY,10021,1370,2/21/1995,8/21/2009,"590,797,000 ",8/1/2000,7/1/2025,300,4.22,"3,336,855.49 ","254,879,366.81 ",PRUDENTIAL HUNTOON PAIGE ASSOC,DALLAS,TX,PRUDENTIAL HUNTOON PAIGE ASSOC,DALLAS,TX,ZHL,242 Hospitals,,
01213058,0000008624,MAIMONIDES MEDICAL CENTER,4802 TENTH AVE,BROOKLYN,NY,11219,705,4/25/1996,5/20/2004,"32,800,473 ",11/1/1997,10/1/2022,300,3.595,"100,733.95 ","8,625,388.88 ",DORMITORY AUTHORITY STATE OF N,ALBANY,NY,PRUDENTIAL HUNTOON PAIGE ASSOC,DALLAS,TX,ZHL,242 Hospitals,,
01213063,0000008431,FLUSHING HOSP MED CENTER,45 AVE PARSONS BLVD,FLUSHING,NY,11355,252,11/25/1997,11/25/1997,"15,960,000 ",1/1/1998,3/1/2017,231,7.45,"130,269.20 ","3,770,074.98 ",BEAR STEARNS FUNDING INC,SARATOGA SPRINGS,NY,PRUDENTIAL HUNTOON PAIGE ASSOC,DALLAS,TX,RET,223(a)(7)/242 Refi/ Hospital,,
01213065,0000005639,LUTHERAN MEDICAL CENTER,150 55TH STREET,BROOKLYN,NY,11220,501,3/27/2003,8/16/2007,"83,763,609 ",3/1/2005,2/1/2030,300,4.15,"612,239.85 ","41,568,986.04 ",DORMITORY AUTHORITY STATE OF N,ALBANY,NY,PRUDENTIAL HUNTOON PAIGE ASSOC,DALLAS,TX,ZHL,242 Hospitals,,
01213070,0000002625,MONTEFIORE MEDICAL CENTER,111 EAST 210 STREET,BRONX,NY,10467,1062,9/22/2005,9/22/2005,"147,954,000 ",11/1/2005,10/1/2026,252,4.57,"916,838.24 ","102,456,925.73 ",DORMITORY AUTHORITY STATE OF N,ALBANY,NY,PRUDENTIAL HUNTOON PAIGE ASSOC,DALLAS,TX,RET,223(a)(7)/242 Refi/ Hospital,,
01213071,0000008426,ST.BARNABAS HOSPITAL,THIRD AVE AND 183 ST,BRONX,NY,10457,494,9/18/2013,9/18/2013,"86,358,900 ",11/1/2013,5/1/2030,131,4.21,"634,347.04 ","83,334,362.32 ",WELLS FARGO BANK NA,MC LEAN,VA,WELLS FARGO BANK NA,MC LEAN,VA,RET,223(a)(7)/242 Refi/ Hospital,,
01215002,0000008424,QUEENS BLVD EXTD CARE FACILITY,61-11 QUEENS BLVD,QUEENS NY,NY,11536,280,6/5/1997,6/5/1997,"2,266,200 ",8/1/1997,4/1/2013,343,5.25,"9,830.01 ",0.00 ,"PNC BANK, NATIONAL ASSOCIATION",MIAMISBURG,OH,"PNC BANK, NATIONAL ASSOCIATION",MIAMISBURG,OH,XTQ,223(d)/ 232 Two Yr. Opr. Loss/ Nursing Hm,,
01215004,0000007623,BETHEL SPRINGVALE NURSING HOME,67 SPRINGVALE ROAD,CROTON-ON-HUDSON,NY,10520,200,1/27/2000,1/27/2000,"1,079,192 ",4/1/2000,12/1/2027,333,8.75,"8,945.93 ","719,206.29 ",DORMITORY AUTHORITY STATE OF N,ALBANY,NY,CENTURY HEALTH CAPITAL INC,SARATOGA SPRINGS,NY,XTQ,223(d)/ 232 Two Yr. Opr. Loss/ Nursing Hm,,
01222208,0000007042,PORT JEFFERSON HEALTH CARE CNT,DARK HOLLOW ROAD,PORT JEFFERSON,NY,11777,120,6/6/2001,6/6/2001,"3,540,300 ",8/1/2001,7/1/2031,360,7.98,"25,928.13 ","2,890,325.08 ","PNC BANK, NATIONAL ASSOCIATION",MIAMISBURG,OH,"PNC BANK, NATIONAL ASSOCIATION",MIAMISBURG,OH,RNQ,232/ 223(f)/Pur/Refin/ Nursing Hms,,
01222212,0000017051,FIELDSTON LODGE NURSING HOME,666 KAPPOCK ST,BRONX,NY,10463,200,4/18/2002,4/18/2002,"3,750,000 ",6/1/2002,5/1/2017,180,7.5,"34,762.96 ","1,061,827.41 ",CENTURY HEALTH CAPITAL INC,SARATOGA SPRINGS,NY,CENTURY HEALTH CAPITAL INC,SARATOGA SPRINGS,NY,RNQ,232/ 223(f)/Pur/Refin/ Nursing Hms,,
01222222,0000000841,ISLAND NURSING AND REHAB CTR,5537 EXPRESSWAY DRIVE NORTH,HOLTSVILLE,NY,11742,120,5/31/2007,5/31/2007,"17,158,100 ",7/1/2007,6/1/2032,300,5.17,"102,011.31 ","14,282,175.09 ",WELLS FARGO BANK NA,MC LEAN,VA,WELLS FARGO BANK NA,MC LEAN,VA,RNQ,232/ 223(f)/Pur/Refin/ Nursing Hms,,
01222225,0000000628,CONCORD NURSING AND REHAB CTR,300 MADISON STREET,BROOKLYN,NY,11216,140,10/24/2007,10/24/2007,"18,773,600 ",12/1/2007,1/1/2030,266,5.62,"123,584.28 ","15,322,441.61 ",BERKADIA COMMERCIAL MORTGAGE L,HORSHAM,PA,BERKADIA COMMERCIAL MORTGAGE L,HORSHAM,PA,RNQ,232/ 223(f)/Pur/Refin/ Nursing Hms,,
01222226,0000018109,MORRIS PARK NURSING HOME,1235 PELHALM PARKWAY NORTH,BRONX,NY,10469,191,7/8/2009,7/8/2009,"7,410,400 ",9/1/2009,8/1/2034,300,5.13,"43,883.58 ","6,593,383.66 ",KEYBANK NATIONAL ASSOCIATION,MOUNT LAUREL,NJ,KEYBANK NATIONAL ASSOCIATION,MOUNT LAUREL,NJ,RNQ,232/ 223(f)/Pur/Refin/ Nursing Hms,,
01222227,0000017756,WEST LAWRENCE CARE CENTER,1410 SEAGIRT BLVD,FAR ROCKAWAY,NY,11691,140,1/21/2009,1/21/2009,"6,466,900 ",3/1/2009,2/1/2044,420,5.98,"36,786.78 ","6,117,876.46 ","PNC BANK, NATIONAL ASSOCIATION",MIAMISBURG,OH,"PNC BANK, NATIONAL ASSOCIATION",MIAMISBURG,OH,RNQ,232/ 223(f)/Pur/Refin/ Nursing Hms,,
01222233,0000003230,BELLHAVEN NURSING CENTER,110 BEAVER DAM ROAD,BROOKHAVEN,NY,11719,240,6/1/2009,6/1/2009,"22,732,900 ",8/1/2009,7/1/2034,300,5.18,"135,289.19 ","20,194,232.71 ",HEARTLAND BANK,CHESTERFIELD,MO,HEARTLAND BANK,CHESTERFIELD,MO,RNQ,232/ 223(f)/Pur/Refin/ Nursing Hms,,
01222237,0000019408,DUMONT MASONIC HOME,676 PELHAM ROAD,NEW ROCHELLE,NY,10805,196,7/29/2010,7/29/2010,"18,359,400 ",9/1/2010,8/1/2045,420,4.18,"83,284.81 ","17,374,002.08 ",HEARTLAND BANK,CHESTERFIELD,MO,HEARTLAND BANK,CHESTERFIELD,MO,RNQ,232/ 223(f)/Pur/Refin/ Nursing Hms,,
01222238,0000019111,WARTBURG NURSING HOME,50 SHEFFIELD AVE,BROOKLYN,NY,11207,225,5/18/2010,5/18/2010,"23,679,700 ",7/1/2010,6/1/2040,360,4.65,"122,101.25 ","22,045,869.75 ","PNC BANK, NATIONAL ASSOCIATION",MIAMISBURG,OH,"PNC BANK, NATIONAL ASSOCIATION",MIAMISBURG,OH,RNQ,232/ 223(f)/Pur/Refin/ Nursing Hms,,
01222240,0000019410,SUNHARBOR MANOR,255 WARNER AVENUE,ROSLYN HEIGHTS,NY,11577,266,7/13/2010,7/13/2010,"19,750,400 ",9/1/2010,8/1/2040,360,4.9,"104,820.65 ","18,500,718.21 ",CAPITAL FUNDING LLC,BALTIMORE,MD,CAPITAL FUNDING LLC,BALTIMORE,MD,RNQ,232/ 223(f)/Pur/Refin/ Nursing Hms,,
01222242,0000021438,LITTLE NECK NURSING HOME,260-19 NASSAU BLVD,LITTLE NECK,NY,11362,120,4/7/2011,4/7/2011,"6,880,000 ",6/1/2011,5/1/2041,360,4.95,"36,723.38 ","6,537,514.70 ",GREYSTONE SERVICING CORP INC,WARRENTON,VA,GREYSTONE SERVICING CORP INC,WARRENTON,VA,RNQ,232/ 223(f)/Pur/Refin/ Nursing Hms,,
01222243,0000007031,ARMS ACRES,75 SEMINARY HILL RD,CARAMEL,NY,10512,145,5/20/2010,5/20/2010,"11,141,000 ",7/1/2010,6/1/2040,360,4.69,"57,714.49 ","10,377,274.06 ",CENTURY HEALTH CAPITAL INC,SARATOGA SPRINGS,NY,CENTURY HEALTH CAPITAL INC,SARATOGA SPRINGS,NY,RFR,223(a)(7)/232/223(f)/Pur/Refi/Board & Care,,
01222244,0000006832,HOLLISWOOD HOSPITAL,87-37 PALERMO STREET,HOLLISWOOD,NY,11423,125,5/20/2010,5/20/2010,"10,075,000 ",7/1/2010,6/1/2040,360,4.69,"52,192.22 ","9,384,349.19 ",CENTURY HEALTH CAPITAL INC,SARATOGA SPRINGS,NY,CENTURY HEALTH CAPITAL INC,SARATOGA SPRINGS,NY,RFR,223(a)(7)/232/223(f)/Pur/Refi/Board & Care,,
01222247,0000022694,NESCONSET NURSING HOME,100 SOUTHERN BLVD,NESCONSET,NY,11767,240,9/21/2011,9/21/2011,"22,440,000 ",11/1/2011,10/1/2046,420,4.65,"108,292.90 ","21,690,391.88 ",GREYSTONE SERVICING CORP INC,WARRENTON,VA,GREYSTONE SERVICING CORP INC,WARRENTON,VA,RNQ,232/ 223(f)/Pur/Refin/ Nursing Hms,,
01222249,0000021847,WHITE PLAINS CENTER FOR NURSIN,220 WEST POST ROAD,WHITE PLAINS,NY,10606,88,6/1/2011,6/1/2011,"5,154,100 ",8/1/2011,7/1/2041,360,4.69,"26,700.14 ","4,901,195.15 ",GREYSTONE SERVICING CORP INC,WARRENTON,VA,GREYSTONE SERVICING CORP INC,WARRENTON,VA,RNQ,232/ 223(f)/Pur/Refin/ Nursing Hms,,
01222251,0000022971,80TH STREET RESIDENCES,430 EAST 80TH STREET,NEW YORK,NY,10075,69,12/19/2011,12/19/2011,"25,976,000 ",2/1/2012,1/1/2047,420,3.4,"105,856.79 ","24,967,426.39 ",TRANS ATLANTIC MORTGAGE LLC,REISTERSTOWN,MD,CBRE HMF INC,BOSTON,MA,RNA,232/ 223(f)/Pur/Refin/ Assisted Living,,
01222255,0000004827,REGAL HEIGHTS REHAB &HEALTHCAR,70-05 35TH AVENUE,JACKSON HEIGHTS,NY,11372,280,12/21/2011,12/21/2011,"43,422,000 ",2/1/2012,1/1/2042,360,3.89,"204,559.08 ","41,415,269.39 ",HEARTLAND BANK,CHESTERFIELD,MO,HEARTLAND BANK,CHESTERFIELD,MO,RFP,223(a)(7)/232/223(f)/Pur/Refi/Nursing Home,,
01222257,0000002226,EASTCHESTER REHAB AND HLTH CTR,2700 EASTCHESTER ROAD,BRONX,NY,10469,200,7/27/2012,7/27/2012,"9,974,900 ",9/1/2012,1/1/2041,341,3.6,"46,762.15 ","9,574,586.59 ",GREYSTONE FUNDING CORPORATION,ATLANTA,GA,GREYSTONE FUNDING CORPORATION,ATLANTA,GA,RFP,223(a)(7)/232/223(f)/Pur/Refi/Nursing Home,,
01222258,0000001424,GRACE PLAZA REHAB AND NURSING,15 SAINT PAULS PLACE,GREAT NECK,NY,11021,214,10/31/2011,10/31/2011,"17,349,000 ",12/1/2011,12/1/2041,361,4.99,"92,915.80 ","16,639,586.62 ",GREYSTONE SERVICING CORP INC,WARRENTON,VA,GREYSTONE SERVICING CORP INC,WARRENTON,VA,RFP,223(a)(7)/232/223(f)/Pur/Refi/Nursing Home,,
01222259,0000003042,GOLDEN GATE REHABILITATION,191 BRADLEY AVENUE,STATEN ISLAND,NY,10314,238,2/29/2012,2/29/2012,"10,159,300 ",4/1/2012,4/1/2040,337,4.24,"51,622.23 ","9,697,309.66 ",GREYSTONE FUNDING CORPORATION,ATLANTA,GA,GREYSTONE SERVICING CORP INC,WARRENTON,VA,RFP,223(a)(7)/232/223(f)/Pur/Refi/Nursing Home,,
01222260,0000002028,BRONX CTR FOR REHAB & HEALTH,1010 UNDERHILL AVENUE,BRONX,NY,10472,200,6/29/2012,6/29/2012,"11,827,300 ",8/1/2012,5/1/2041,346,3.26,"52,772.03 ","11,316,121.70 ",GREYSTONE FUNDING CORPORATION,ATLANTA,GA,GREYSTONE SERVICING CORP INC,WARRENTON,VA,RFP,223(a)(7)/232/223(f)/Pur/Refi/Nursing Home,,
01222261,0000023679,LONG ISLAND LIVING CENTER,431 BEACH 20TH STREET,FAR ROCKAWAY,NY,11691,165,7/18/2012,7/18/2012,"4,906,300 ",9/1/2012,8/1/2042,360,3.63,"22,389.05 ","4,726,807.21 ",BERKADIA COMMERCIAL MORTGAGE L,HORSHAM,PA,BERKADIA COMMERCIAL MORTGAGE L,HORSHAM,PA,RNA,232/ 223(f)/Pur/Refin/ Assisted Living,,
01222262,0000024098,EDEN HEIGHTS OF OLEAN,161 SOUTH 25TH STREET,OLEAN,NY,14760,91,10/5/2012,10/5/2012,"7,440,000 ",12/1/2012,11/1/2042,360,2.3,"28,629.22 ","7,147,322.15 ",RED MORTGAGE CAPITAL LLC,COLUMBUS,OH,RED MORTGAGE CAPITAL LLC,COLUMBUS,OH,RNA,232/ 223(f)/Pur/Refin/ Assisted Living,,
01222265,0000024049,AFFINITY SKILLED LIVING AND RE,305 LOCUST  AVENUE,OAKDALE,NY,11769,280,9/27/2012,9/27/2012,"28,969,900 ",11/1/2012,10/1/2032,240,2.7,"156,350.60 ","27,011,668.04 ","PNC BANK, NATIONAL ASSOCIATION",MIAMISBURG,OH,"PNC BANK, NATIONAL ASSOCIATION",MIAMISBURG,OH,RNQ,232/ 223(f)/Pur/Refin/ Nursing Hms,,
01222268,0000003628,GARDEN CARE CENTER,135 FRANKLIN AVENUE,FRANKLIN SQUARE,NY,11010,150,11/28/2012,11/28/2012,"6,487,800 ",1/1/2013,8/1/2024,140,2.68,"54,014.36 ","5,721,538.83 ",HEARTLAND BANK,CHESTERFIELD,MO,HEARTLAND BANK,CHESTERFIELD,MO,RFP,223(a)(7)/232/223(f)/Pur/Refi/Nursing Home,,
01222270,0000018000,ACHIEVE REHABILITATION,170 LAKE STREET,LIBERTY,NY,12754,140,4/26/2012,4/26/2012,"7,905,000 ",6/1/2012,4/1/2044,383,3.1,"32,531.80 ","7,579,744.57 ",HEARTLAND BANK,CHESTERFIELD,MO,HEARTLAND BANK,CHESTERFIELD,MO,RFP,223(a)(7)/232/223(f)/Pur/Refi/Nursing Home,,
01222271,0000023913,WESTCHESTER CENTER FOR REHABIL,10 CLAREMONT AVENUE,MOUNT VERSION,NY,10550,240,8/28/2012,8/28/2012,"16,281,700 ",10/1/2012,9/1/2042,360,2.39,"63,405.10 ","15,585,754.66 ",CAPITAL FUNDING LLC,BALTIMORE,MD,CAPITAL FUNDING LLC,BALTIMORE,MD,RNQ,232/ 223(f)/Pur/Refin/ Nursing Hms,,
01222272,0000018048,BAY PARK CENTER,801 COOP CITY BLVD,BRONX,NY,10475,480,6/9/2014,6/9/2014,"32,616,100 ",8/1/2014,5/1/2044,358,4.99,"175,313.95 ","32,616,100.00 ",GREYSTONE FUNDING CORPORATION,ATLANTA,GA,GREYSTONE SERVICING CORP INC,WARRENTON,VA,RFP,223(a)(7)/232/223(f)/Pur/Refi/Nursing Home,,
01222273,0000002423,SMITHTOWN HEALTHCARE FACILITY,391 NORTH COUNTRY ROAD,SMITHTOWN,NY,11787,162,8/30/2012,8/30/2012,"11,397,500 ",10/1/2012,12/1/2030,219,2.44,"64,540.02 ","10,467,772.61 ",HEARTLAND BANK,CHESTERFIELD,MO,HEARTLAND BANK,CHESTERFIELD,MO,RFP,223(a)(7)/232/223(f)/Pur/Refi/Nursing Home,,
01222275,0000025194,TLMGMT30-ROCKVILLE SKILLED NUR,50 MAINE AVENUE,ROCKVILLE CENTRE,NY,11570,66,5/9/2013,5/9/2013,"4,490,500 ",7/1/2013,6/1/2043,360,2.79,"18,427.35 ","4,385,208.95 ",HEARTLAND BANK,CHESTERFIELD,MO,HEARTLAND BANK,CHESTERFIELD,MO,RNQ,232/ 223(f)/Pur/Refin/ Nursing Hms,,
